Date;1COV;ADS;ALV;BAS;BAYN;BEI;BMW;CON;DAI;DB1;DBK;DPW;DTE;EOAN;FME;FRE;HEI;HEN3;IFX;LHA;LIN;MRK;MUV2;RWE;SAP;SIE;TKA;VNA;VOW3;WDI
2015-10-01;26.000000;72.860001;142.199997;69.000000;113.810997;79.830002;80.620003;192.550003;66.139999;80.430000;21.875401;25.049999;15.985000;7.029290;70.370003;60.500000;64.220001;93.000000;10.205000;12.535000;75.959999;79.879997;168.350006;10.295000;58.500000;80.889999;15.840000;29.000000;100.800003;43.095001
2015-11-01;27.875000;81.000000;158.300003;73.849998;117.550003;85.910004;92.730003;216.649994;78.080002;82.919998;22.473301;26.840000;16.809999;8.637070;81.000000;66.330002;67.010002;97.959999;11.110000;13.270000;75.959999;88.000000;180.100006;12.570000;71.150002;90.519997;18.180000;30.014999;109.000000;47.000000
2015-12-01;34.970001;92.000000;169.000000;78.180000;125.127998;88.349998;103.599998;229.500000;85.099998;81.440002;21.812901;27.850000;17.495001;8.173950;78.570000;70.000000;75.889999;107.400002;14.050000;13.640000;75.959999;97.529999;192.250000;10.905000;75.300003;99.000000;20.150000;29.445000;133.000000;46.305000
2016-01-01;33.634998;89.910004;163.550003;70.720001;113.958000;84.160004;97.629997;224.550003;77.580002;81.389999;20.103701;25.955000;16.690001;8.094200;77.730003;65.970001;75.620003;103.199997;13.505000;14.565000;75.959999;89.570000;184.550003;11.710000;73.379997;89.879997;18.340000;28.549999;133.750000;46.500000
2016-02-01;30.299999;95.000000;148.899994;61.650002;102.346001;85.459999;76.889999;192.000000;64.230003;78.650002;14.721900;22.400000;16.035000;8.558220;81.949997;61.389999;68.199997;97.690002;12.535000;13.535000;75.959999;80.750000;177.350006;12.935000;73.139999;88.800003;14.180000;27.985001;107.349998;46.474998
2016-03-01;29.385000;98.580002;137.149994;60.299999;94.876602;80.180000;75.269997;185.899994;62.889999;75.660004;14.199800;21.940001;15.485000;7.612950;77.370003;60.709999;67.669998;92.809998;11.280000;13.780000;75.959999;78.570000;181.449997;10.530000;69.750000;85.510002;15.600000;28.820000;108.000000;36.669998
2016-04-01;32.875000;102.300003;141.449997;65.449997;100.181000;77.879997;79.599998;198.000000;66.900002;74.040001;13.160000;24.135000;15.605000;7.562200;76.720001;63.389999;74.150002;95.790001;12.300000;14.065000;75.959999;72.559998;177.050003;11.220000;69.980003;91.750000;18.855000;31.340000;111.000000;33.000000
2016-05-01;34.825001;112.349998;149.750000;69.629997;97.425400;78.300003;81.320000;187.399994;61.150002;71.260002;14.788800;25.705000;15.380000;8.206580;75.639999;63.119999;77.669998;99.309998;12.510000;13.615000;75.959999;81.360001;162.699997;13.025000;68.639999;91.419998;20.219999;29.315001;127.000000;37.360001
2016-06-01;38.200001;114.500000;145.800003;69.500000;84.071198;81.889999;75.919998;192.199997;61.360001;78.650002;14.199800;26.129999;15.840000;8.013540;77.739998;67.870003;77.000000;104.550003;13.420000;12.600000;75.959999;89.849998;168.000000;11.755000;72.589996;96.629997;19.900000;30.860001;134.199997;39.950001
2016-07-01;40.000000;128.550003;128.500000;69.290001;89.296799;85.290001;66.269997;170.149994;53.930000;74.099998;11.129600;25.315001;15.355000;8.220170;78.529999;66.199997;67.620003;110.000000;13.095000;10.650000;75.959999;91.419998;151.649994;14.270000;67.440002;92.339996;18.145000;33.000000;109.550003;39.599998
2016-08-01;41.945000;148.050003;129.449997;70.500000;96.037804;84.330002;78.440002;189.949997;61.400002;74.639999;11.111700;26.855000;15.295000;8.750360;82.389999;67.809998;76.199997;112.099998;14.985000;10.820000;75.959999;100.000000;150.750000;16.000000;78.930000;97.889999;20.620001;35.840000;127.449997;41.900002
2016-09-01;46.849998;148.800003;133.750000;73.089996;94.394402;81.769997;78.269997;188.500000;62.290001;71.989998;11.897100;28.450001;15.040000;7.490600;79.559998;65.370003;83.419998;117.599998;15.080000;10.495000;75.959999;94.870003;162.500000;14.710000;78.599998;107.500000;20.924999;35.000000;124.849998;44.520000
