Date;1COV;ADS;ALV;BAS;BAYN;BEI;BMW;CON;DAI;DB1;DBK;DPW;DTE;EOAN;FME;FRE;HEI;HEN3;IFX;LHA;LIN;MRK;MUV2;RWE;SAP;SIE;TKA;VNA;VOW3;WDI
2015-11-01;0,0721153846;0,1117210937;0,1132208603;0,0702898261;0,0328527655;0,0761618671;0,1502108602;0,1251622468;0,1805262047;0,0309585727;0,0273320704;0,0714571286;0,0516108226;0,228725803;0,1510586407;0,0963636694;0,0434444247;0,0533333226;0,0886820186;0,0586358197;0;0,1016525201;0,0697950673;0,2209810588;0,2162393504;0,1190505392;0,1477272727;0,0349999655;0,0813491742;0,090613735
2015-12-01;0,2545291839;0,1358024691;0,0675931573;0,0586323916;0,0644661404;0,0284017447;0,1172219848;0,0593122841;0,0899077334;-0,0178484809;-0,0293859812;0,0376304024;0,0407496752;-0,0536200355;-0,03;0,0553293817;0,132517486;0,0963658952;0,2646264626;0,0278824416;0;0,1082954432;0,0674624853;-0,1324582339;0,0583274896;0,0936809907;0,1083608361;-0,0189904721;0,2201834862;-0,014787234
2016-01-01;-0,0381756638;-0,0227173478;-0,032248503;-0,0954208109;-0,0892685744;-0,0474249473;-0,0576254934;-0,0215686144;-0,0883665826;-0,0006139857;-0,0783572987;-0,068043088;-0,046013144;-0,0097566048;-0,0106910653;-0,0575714143;-0,0035577283;-0,0391061911;-0,0387900356;0,0678152493;0;-0,0816159036;-0,040052;0,0738193489;-0,0254980866;-0,0921212424;-0,0898263027;-0,0303956869;0,0056390977;0,0042112083
2016-02-01;-0,0991526445;0,0566121207;-0,0895751069;-0,1282522465;-0,1018971814;0,0154467079;-0,2124346885;-0,1449565912;-0,1720804158;-0,033665033;-0,2677020017;-0,1369678289;-0,0392451145;0,0573274691;0,0542904134;-0,0694255257;-0,0981222653;-0,053391426;-0,0718252499;-0,0707174734;0;-0,09847047;-0,0390138005;0,1046114432;-0,0032706188;-0,012015955;-0,2268266085;-0,019789773;-0,1973831925;-0,0005376774
2016-03-01;-0,0301979878;0,0376842316;-0,0789120247;-0,0218978582;-0,0729818354;-0,0617832794;-0,021069086;-0,0317708646;-0,0208625866;-0,0380165025;-0,0354641724;-0,0205356696;-0,0342999688;-0,1104517061;-0,0558876653;-0,0110767228;-0,0077712467;-0,0499539758;-0,1001196649;0,0181012191;0;-0,026996904;0,0231180765;-0,1859296482;-0,0463494537;-0,0370495596;0,1001410437;0,0298373761;0,0060549792;-0,2109736508
2016-04-01;0,118768079;0,0377358584;0,031352557;0,0854062701;0,0559083893;-0,0286854951;0,0575262545;0,0650887918;0,0637621731;-0,0214116166;-0,0732263835;0,1000455287;0,0077494349;-0,0066662726;-0,0084012146;0,0441442933;0,0957588916;0,032108642;0,0904255319;0,020682148;0;-0,0764923253;-0,0242490718;0,0655270655;0,0032975341;0,0729738961;0,2086538462;0,0874392783;0,0277777778;-0,1000817617
2016-05-01;0,0593156198;0,0982404175;0,0586780005;0,0638655491;-0,0275062138;0,0053929894;0,0216080659;-0,0535353838;-0,0859491753;-0,0375472577;0,123768997;0,0650507562;-0,0144184556;0,085210653;-0,0140771896;-0,004259347;0,0474712866;0,0367470191;0,0170731707;-0,0319943121;0;0,1212789863;-0,0810505832;0,1608734403;-0,0191483844;-0,003596752;0,0723945373;-0,06461388;0,1441441441;0,1321212424
2016-06-01;0,0969131343;0,0191366448;-0,0263772755;-0,0018669683;-0,1370710513;0,0458492447;-0,0664043532;0,0256136774;0,0034341618;0,1037047403;-0,039827437;0,0165337094;0,0299089727;-0,023522588;0,0277630755;0,07525355;-0,0086262137;0,0527641235;0,0727418066;-0,0745501285;0;0,1043509943;0,032575311;-0,0975047985;0,0575465772;0,0569897081;-0,0158258663;0,0527033924;0,0566928898;0,0693254799
2016-07-01;0,0471203914;0,1227074498;-0,1186557109;-0,0030215683;0,0621568519;0,0415191359;-0,1271074981;-0,114724263;-0,1210886714;-0,0578512891;-0,2162143129;-0,0311901275;-0,0306186869;0,0257851087;0,0101620918;-0,0246059515;-0,1218181429;0,0521281382;-0,0242175857;-0,1547619048;0;0,0174735674;-0,0973214643;0,21395151;-0,0709463326;-0,044396162;-0,0881909548;0,0693453963;-0,1836810324;-0,0087610261
2016-08-01;0,048625;0,1516919451;0,0073929728;0,0174628227;0,075489884;-0,0112557039;0,1836427577;0,1163679324;0,1385129242;0,0072874631;-0,0016083237;0,060833456;-0,003907522;0,0644986661;0,0491531905;0,0243202579;0,1268854425;0,0190908909;0,1443298969;0,0159624413;0;0,0938525726;-0,0059346788;0,1212333567;0,1703736308;0,0601039987;0,1364012676;0,0860606061;0,1633956505;0,058080912
